Time_min,Time_hr,DHFU_uM,FBAL_uM,Excreted_5FU_umol,Excreted_FBAL_umol,Excreted_Metabolites_umol
0,0,0,0,0,0,0
2,0.0333333333333333,0,0,0,0,0
4,0.0666666666666667,0,0,0,0,0
6,0.1,0,0,0,0,0
8,0.133333333333333,0,0,0,0,0
10,0.166666666666667,0,0,0,0,0
12,0.2,0,0,0,0,0
14,0.233333333333333,0,0,0,0,0
16,0.266666666666667,0,0,0,0,0
18,0.3,0,0,0,0,0
20,0.333333333333333,0,0,0,0,0
22,0.366666666666667,0,0,0,0,0
24,0.4,0,0,0,0,0
26,0.433333333333333,0,0,0,0,0
28,0.466666666666667,0,0,0,0,0
30,0.5,0,0,0,0,0
32,0.533333333333333,0,0,0,0,0
34,0.566666666666667,0,0,0,0,0
36,0.6,0,0,0,0,0
38,0.633333333333333,0,0,0,0,0
40,0.666666666666667,0,0,0,0,0
42,0.7,0,0,0,0,0
44,0.733333333333333,0,0,0,0,0
46,0.766666666666667,0,0,0,0,0
48,0.8,0,0,0,0,0
50,0.833333333333333,0,0,0,0,0
52,0.866666666666667,0,0,0,0,0
54,0.9,0,0,0,0,0
56,0.933333333333333,0,0,0,0,0
58,0.966666666666667,0,0,0,0,0
60,1,0,0,0,0,0
62,1.03333333333333,0,0,0,0,0
64,1.06666666666667,0,0,0,0,0
66,1.1,0,0,0,0,0
68,1.13333333333333,0,0,0,0,0
70,1.16666666666667,0,0,0,0,0
72,1.2,0,0,0,0,0
74,1.23333333333333,0,0,0,0,0
76,1.26666666666667,0,0,0,0,0
78,1.3,0,0,0,0,0
80,1.33333333333333,0,0,0,0,0
82,1.36666666666667,0,0,0,0,0
84,1.4,0,0,0,0,0
86,1.43333333333333,0,0,0,0,0
88,1.46666666666667,0,0,0,0,0
90,1.5,0,0,0,0,0
92,1.53333333333333,0,0,0,0,0
94,1.56666666666667,0,0,0,0,0
96,1.6,0,0,0,0,0
98,1.63333333333333,0,0,0,0,0
100,1.66666666666667,0,0,0,0,0
102,1.7,0,0,0,0,0
104,1.73333333333333,0,0,0,0,0
106,1.76666666666667,0,0,0,0,0
108,1.8,0,0,0,0,0
110,1.83333333333333,0,0,0,0,0
112,1.86666666666667,0,0,0,0,0
114,1.9,0,0,0,0,0
116,1.93333333333333,0,0,0,0,0
118,1.96666666666667,0,0,0,0,0
120,2,0,0,0,0,0
122,2.03333333333333,0,0,0,0,0
124,2.06666666666667,0,0,0,0,0
126,2.1,0,0,0,0,0
